Optional; From FLIMS,Optional; From FLIMS,"YBFMP (SHR, STTD, LIS); NDFA (All others); Shared (SHR, STTD, LIS during NDFS season)",Our station codes,From FLIMS/WDL. See Station Name to Number Tab.,Use sample code from FLIMS/WDL to connect field data and lab data,"Sampling Date; one station code-date/time combination per ""Sampling""","Sampling Time; one station code-date/time combination per ""Sampling""","Optional; for duplicate/replicate FIELD samples; individual sample numbers can be different between field and lab data, and can have two different times. Leave blank if NA.",Optional; for duplicate/replicate FIELD samples; individual sample collection date/time can be different between field and lab data. Leave blank if NA.,Optional; E.g. for duplicates/replicates or if we were collecting at different depths; individual sample collection date/time can be different between field and lab data. Leave blank if NA.,Should all be FIELD,,TRUE/FALSE,,,YSI Number,,,,,,,,,,,,,,,,,,,,,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Data Type Collected? True/False,Comments pertaining to WQ collection,Anything important to note that was corrected from field sheet or during QAQC,,
Run Number ,Run Name,Measuring Program Name,Station Name,Station Number,Sampling Number (event),WDL SAM_COLLECTION_DATE,Collection Time,Sample Number,Sample Date,Sample Time,LabOrField,Recorder,Field Check,FieldChecker,Crew,YSI,WeatherCode,secchi,water.temp,DO.probe,sp.cond,EC,pH,Tide,microcyst,VegRank,turb,SurfaceIrr,Depth1Irr,Depth2Irr,Depth3Irr,Depth4Irr,SubIrr1,SubIrr2,SubIrr3,SubIrr4,LightData,DriftData,LarvalData,150_ZoopsData,50_ZoopsData,PhytoData,ChlData,NutrData,FieldComments_WQ,DataCorrectionComments,EnteredBy,QAQCBy
,,,,,WDL_SAM Code,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST) ,,"mm/dd/yyyy 2 digits per month, day",hh:mm (PST),,,Boolean,,,SCAL,SCAL,M,DEGC,MGL,MISM,MISM,SCAL,Tide,SCAL,SCAL,FNU,M,M,M,M,M,UMSM,UMSM,UMSM,UMSM,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,BOOLEAN,,,,
,,NDFS,I80,,ES0821B0156,08/30/2021,8:40,,,,FIELD,ldixit,TRUE,ehubbard,"jrobinson, ehubbard",2,CLR,0.55,22.2,0.18,931,882,7.29,Flood,1,3,5.3,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"had to move veg to take water samples, too much veg couldn't do zoop150 tow",,ldixit,ehubbard
,,Shared,LIS,,ES0821B0157,08/30/2021,9:45,,,,FIELD,jrobinson,TRUE,ehubbard,"ehubbard, ldixit",2,CLR,0.29,23.0,7.33,340,327,7.7,Flood,2,1,22.2,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,Shared,STTD,,ES0821B0158,08/31/2021,11:06,,,,FIELD,mgilbert,FALSE,,"mgilbert, gbigham, PV",2,CLR,0.56,23.1,7.74,234,226,8.18,Flood,1,1,13.2,2226,0.05,0.34,0.78,2.19,1669.7,1119.8,558.7,51.62,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,BL5,,ES0821B0159,08/31/2021,10:16,,,,FIELD,mgilbert,FALSE,,"mgilbert, gbigham, PV",2,CLR,1.51,22.1,7.98,219,207,8.42,Flood,1,1,5.3,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,PRS,,ES0821B0160,08/31/2021,10:01,,,,FIELD,mgilbert,TRUE,gbigham,"mgilber, gbigham, PV",2,CLR,1.49,22.1,8.34,214,202,8.71,Flood,1,1,5,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,LIB,,ES0821B0161,08/31/2021,9:21,,,,FIELD,mgilbert,FALSE,,"mgilber, gbigham, PV",2,CLR,1.8,22.2,8.67,211,200,8.48,Flood,1,2,4.7,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,RYI,,ES0821B0162,08/31/2021,8:43,,,,FIELD,mgilbert,TRUE,gbigham,"mgilber, gbigham, PV",2,CLR,1.8,22.3,8.83,212,202,8.11,Flood,1,1,4.9,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,RVB,,ES0821B0163,08/31/2021,7:59,,,,FIELD,mgilbert,TRUE,gbigham,"mgilber, gbigham, PV",2,CLR,1.8,22.7,8.63,214,204,7.96,Flood,1,1,4.3,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,One (_____),,ldixit,ehubbard
,,Shared,SHR,,ES0821B0164,08/31/2021,8:06,,,,FIELD,abrady,TRUE,cpien,"abrady, nikemiyagi",1,CLR,2.1,22.8,8.14,190,182,7.59,Ebb,1,1,3.4,2010,0.04,0.06,1.02,2.19,1522.5,1009.2,502.8,199.6,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,RMB,,ES0921B0188,09/13/2021,10:05,,,,FIELD,ehubbard,TRUE,mbedwell,"ldixit, mbedwell, ehubbard",1,CLR,0.28,24.9,4.15,664,663,7.63,Flood,1,1,23.5,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,WWT,,ES0921B0189,09/13/2021,9:00,,,,FIELD,ldixit,TRUE,ehubbard,"ldixit, mbedwell, ehubbard",1,CLR,0.25,22.6,2.06,1106,1055,7.31,Flood,1,3,15.1,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,ldixit,ehubbard
,,NDFS,RD22,,ES0921B0190,09/13/2021,7:25,,,,FIELD,ehubbard,TRUE,ldixit,"ldixit, mbedwell, ehubbard",1,CLD,0.53,22.9,3.49,876,841,7.58,Ebb,1,3,16.8,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,DWT,,ES0921B0191,09/13/2021,8:05,,,,FIELD,pfarman,TRUE,abrady,"abrady, jrobinson",2,CLR,0.15,24.0,2.07,1030,1011,7.54,slack,1,2,50.2,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,ldixit,ehubbard
,,NDFS,I80,,ES0921B0192,09/13/2021,8:45,,,,FIELD,abrady,TRUE,pfarman,"abrady, jrobinson",2,CLR,0.63,22.0,0.3,951,896,7.37,NA,1,3,13.8,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"Lots of SAV, EAV",,ldixit,ehubbard
,,Shared,LIS,,ES0921B0193,09/13/2021,9:46,,,,FIELD,jrobinson,TRUE,pfarman,"pfarman, abrady",2,CLR,0.49,23.5,3.01,416,404,7.33,Flood,1,2,14.2,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,Shared,STTD,,ES0921B0194,09/14/2021,11:34,,,,FIELD,gbigham,FALSE,,"mgilber, gbigham, PV, jadams",2,CLR,0.55,23.8,7.11,257,251,8.11,Flood,2,2,15.4,2083,0.04,0.21,0.52,2.19,1478,1057.9,526.5,23.32,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,towed downstream,,ldixit,ehubbard
,,NDFS,BL5,,ES0921B0195,09/14/2021,10:30,,,,FIELD,gbigham,TRUE,jadams,"mgilber, gbigham, PV, jadams",2,CLR,1.57,21.9,8.93,226,217,8.57,Flood,2,2,5.7,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,PRS,,ES0921B0196,09/14/2021,9:59,,,,FIELD,gbigham,TRUE,jadams,"mgilber, gbigham, PV, jadams",2,CLR,1.33,22.9,8.2,223,214,8.33,Flood,2,2,6.6,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
,,NDFS,LIB,,ES0921B0197,09/14/2021,9:31,,,,FIELD,gbigham,FALSE,,"mgilber, gbigham, PV, jadams",2,CLR,1.7,23.0,8.22,222,214,8.29,Flood,1,2,5.1,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,,ldixit,ehubbard
