LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Dissolved Calcium,7440702,13.7,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Dissolved Chloride,16887006,15.9,1,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Chlorophyll a,479618,0.55,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Dissolved Nitrate + Nitrite,0,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Dissolved Organic Carbon,7440440,2.6,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Total Organic Carbon,7440440,2.4,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Dissolved Organic Nitrogen,7727379,0.17,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Dissolved ortho-Phosphate,14265442,0.096,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Pheophytin a,0,<0.5,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Total Phosphorus,7723140,0.093,0.01,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Dissolved Silica (SiO2),7631869,15,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Total Dissolved Solids,0,132,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Total Suspended Solids,0,7.2,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Below Base of Toe Drain in Prospect Slough,BL5 -Below Toe Drain,B9D81651399,ES0921B0195,09/14/2021 10:30,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
